time,open,high,low,close,Volume
1764444060,90722.8,90730.8,90722.8,90730.8,11.067
1764444120,90730.8,90760.3,90712.9,90760.3,30.354
1764444180,90760.2,90788.8,90719.6,90724.1,42.68
1764444240,90724.1,90769.8,90724.1,90765.8,42.876
1764444300,90765.8,90765.8,90742.5,90764.1,27.631
1764444360,90764.1,90788.4,90764,90788.4,20.476
1764444420,90788.4,90788.4,90783.8,90783.8,11.438
1764444480,90783.8,90819.9,90783.8,90801.9,44.916
1764444540,90801.9,90801.9,90771.1,90771.2,21.294
1764444600,90771.1,90791.1,90766.5,90791.1,18.235
1764444660,90791,90791.1,90690.2,90693.2,49.809
1764444720,90693.2,90712.8,90693.2,90697.4,16.814
1764444780,90697.5,90707,90653.4,90653.4,21.922
1764444840,90653.5,90665,90653.4,90659.7,26.697
1764444900,90659.7,90660.7,90633.2,90660.7,33.105
1764444960,90660.7,90660.7,90660.6,90660.7,5.361
1764445020,90660.7,90660.7,90625.7,90640.8,44.246
1764445080,90640.7,90675,90637.5,90647,23.478
1764445140,90647,90655.7,90642.5,90644.8,9.519
1764445200,90644.8,90670.7,90637.5,90637.5,18.38
1764445260,90637.6,90646.3,90581.7,90597.7,73.078
1764445320,90597.8,90621,90597.7,90620.9,18.901
1764445380,90620.9,90627.3,90620.9,90627.3,11.839
1764445440,90627.2,90627.3,90595.6,90602.1,26.94
1764445500,90602.1,90637.8,90583.1,90637.7,27.84
1764445560,90637.8,90640.9,90608.5,90610.9,19.964
1764445620,90611,90611,90583.9,90583.9,16.065
1764445680,90584,90600.7,90563.4,90579.5,30.936
1764445740,90579.5,90583.4,90579.5,90583.3,21.494
1764445800,90583.4,90595.5,90562.7,90562.7,21.948
1764445860,90562.7,90592.1,90562.7,90592.1,9.668
1764445920,90592.1,90607.5,90592,90607.1,17.331
1764445980,90607.1,90625.4,90604.3,90625.4,10.881
1764446040,90625.4,90625.4,90625.3,90625.4,2.281
1764446100,90625.4,90625.4,90610.2,90610.2,5.687
1764446160,90610.2,90621,90583.9,90607.2,28.147
1764446220,90607.2,90638.5,90607.2,90614.8,39.658
1764446280,90614.7,90614.7,90602.4,90602.4,11.357
1764446340,90602.4,90617.3,90602.4,90602.9,17.024
1764446400,90602.9,90603,90540.1,90557.8,46.369
1764446460,90557.9,90599.7,90557.8,90562.6,23.647
1764446520,90562.5,90562.6,90519.5,90519.8,31.859
1764446580,90519.7,90519.8,90410.5,90429,601.673
1764446640,90429,90432.4,90418.5,90432,46.364
1764446700,90431.9,90446.2,90410,90410,26.541
1764446760,90410,90427.3,90405,90427.3,36.921
1764446820,90427.3,90427.3,90402.7,90409.7,30.351
1764446880,90409.8,90416.7,90363,90363.1,103.567
1764446940,90363.1,90417.7,90363,90412,35.889
1764447000,90412.1,90480,90412,90441.4,87.392
1764447060,90441.4,90466.8,90436.5,90457.4,12.246
1764447120,90457.4,90457.5,90398.8,90405.9,36.502
1764447180,90405.8,90418.2,90405.8,90414.9,6.971
1764447240,90415,90435.8,90408.5,90419.5,14.29
1764447300,90419.5,90455,90419.5,90443.5,121.72
1764447360,90443.5,90465,90396,90465,32.137
1764447420,90464.9,90514.7,90447.2,90447.2,44.514
1764447480,90447.3,90479.9,90437.4,90470.4,12.495
1764447540,90470.4,90518.7,90470.4,90518.7,22.29
1764447600,90518.6,90531.6,90514.3,90514.3,15.442
1764447660,90514.3,90530,90513.8,90530,10.811
1764447720,90530,90552.9,90530,90552.9,17.981
1764447780,90552.9,90567.9,90534.9,90536,20.725
1764447840,90536.1,90536.1,90514.7,90514.7,7.76
1764447900,90514.7,90573.2,90513.8,90568.3,32.612
1764447960,90568.2,90568.3,90551.6,90551.6,13.061
1764448020,90551.7,90621.3,90551.7,90611,64.024
1764448080,90611.1,90654.2,90611,90631.2,36.912
1764448140,90631.1,90631.2,90612.1,90612.1,16.178
1764448200,90612.2,90651.5,90600,90651.4,30.999
1764448260,90651.5,90678,90632.2,90632.2,38.197
1764448320,90632.2,90632.2,90604.4,90616,14.659
1764448380,90616,90639.1,90610.6,90639.1,14.196
1764448440,90639.1,90680.7,90639.1,90680.7,15.655
1764448500,90680.7,90708.5,90670.5,90708.5,44.619
1764448560,90708.5,90713.2,90708.5,90711.9,9.457
1764448620,90711.8,90711.9,90657.6,90657.7,28.93
1764448680,90657.6,90660.1,90639.8,90639.8,10.787
1764448740,90639.8,90665.4,90639.8,90658.5,11.326
1764448800,90658.5,90665.3,90633.1,90657.1,20.504
1764448860,90657.1,90664.2,90623.9,90623.9,14.449
1764448920,90624,90655.9,90623.9,90655.9,10.743
1764448980,90655.8,90667.6,90645,90667.5,10.032
1764449040,90667.5,90791.5,90667.5,90774.3,307.037
1764449100,90774.3,90804.7,90742.3,90766.3,198.872
1764449160,90766.4,90817.2,90750.2,90790.4,214.735
1764449220,90790.4,90791.6,90759.1,90759.1,19.613
1764449280,90759.1,90880,90759.1,90876.9,276.106
1764449340,90876.9,90876.9,90831.5,90831.6,57.713
1764449400,90831.6,90899,90831.5,90899,71.673
1764449460,90899,90919.4,90884.6,90902.4,102.841
1764449520,90902.5,90902.5,90867.6,90897.6,57.639
1764449580,90897.7,90900.6,90867.6,90867.7,42.579
1764449640,90867.6,90900.6,90863.1,90900.5,14.296
1764449700,90900.6,90934.2,90900.6,90932.2,39.775
1764449760,90932.1,90932.2,90925.3,90925.3,18.147
1764449820,90925.3,91000,90925.3,90999.1,320.405
1764449880,90999.2,91007.4,90928.8,90934.9,171.753
1764449940,90934.9,90935,90921.7,90921.7,17.534
1764450000,90921.8,90983.2,90921.7,90968.5,78.304
1764450060,90968.4,90968.5,90897.5,90900.2,34.325
1764450120,90900.1,90910.6,90853.7,90854.2,69.431
1764450180,90854.2,90859.9,90836.9,90837,32.449
