time,open,high,low,close,Volume
1764551940,25321.5,25322,25315,25317.25,104
1764552000,25316.25,25325.75,25312.5,25317,206
1764552060,25316.25,25324.5,25312.75,25316.5,260
1764552120,25316.75,25327,25316,25322,143
1764552180,25322,25323.5,25317.75,25318,107
1764552240,25319.25,25320,25309,25311.75,228
1764552300,25311.75,25321.75,25311,25320.25,184
1764552360,25319.75,25323,25316,25317.75,153
1764552420,25317.5,25322.75,25316,25318,107
1764552480,25316.5,25322.5,25313.25,25314.5,131
1764552540,25314.75,25317.25,25309,25309,144
1764552600,25310,25313,25301,25307.25,261
1764552660,25308,25313.75,25300.5,25312.25,297
1764552720,25311.75,25318.75,25310,25316.25,158
1764552780,25315.5,25320,25312.75,25316.25,121
1764552840,25315,25318.25,25305,25305,154
1764552900,25304.75,25313.75,25300,25302.5,192
1764552960,25302.5,25310.5,25301.5,25301.75,99
1764553020,25301.5,25305.25,25298,25304.5,159
1764553080,25305,25319.25,25301.25,25302.75,261
1764553140,25302,25305,25296.5,25301,182
1764553200,25300.75,25315.5,25300.75,25315.5,161
1764553260,25315,25326,25313.75,25324,356
1764553320,25323.75,25331,25322.5,25327.5,313
1764553380,25328.25,25331.5,25323.25,25330,216
1764553440,25330.5,25333.25,25327.75,25331.25,200
1764553500,25332.25,25335.75,25328,25334.5,206
1764553560,25334.5,25335.5,25328.5,25331.25,149
1764553620,25330.5,25333.25,25328.5,25332,60
1764553680,25332,25335.5,25330,25334.25,80
1764553740,25334.75,25340.25,25334.75,25337,248
1764553800,25336.5,25342.5,25335.5,25342.5,237
1764553860,25342.5,25344.25,25331.5,25334.75,236
1764553920,25334,25334,25326.75,25327.25,181
1764553980,25327.25,25330.75,25323.5,25326.25,175
1764554040,25326.5,25332,25322,25324.25,170
1764554100,25324,25328.75,25321,25322.5,127
1764554160,25322.75,25324.25,25319,25321.5,136
1764554220,25320.75,25326.5,25320,25325.5,116
1764554280,25325.5,25328.5,25317.75,25319,177
1764554340,25319.25,25320.25,25315,25318.25,148
1764554400,25319,25321.5,25315.25,25321.5,141
1764554460,25322.75,25322.75,25313.25,25317.25,266
1764554520,25318,25324.25,25315,25324.25,89
1764554580,25325,25327.75,25315.5,25320.25,213
1764554640,25320,25321,25315.25,25318.5,67
1764554700,25319.25,25320.5,25314.25,25315.25,68
1764554760,25313.5,25316,25304,25307.75,300
1764554820,25308.5,25309,25302,25304.5,159
1764554880,25305,25315.5,25305,25311.5,201
1764554940,25309,25311.25,25303.5,25305.25,117
1764555000,25306.5,25311.5,25304.5,25308.25,82
1764555060,25307.25,25309.25,25303,25307.75,80
1764555120,25309.25,25312.25,25305,25308,80
1764555180,25306.75,25312.75,25305.75,25306.75,88
1764555240,25305.75,25308,25303.5,25305.75,114
1764555300,25307.5,25310.25,25307,25309.75,62
1764555360,25308.5,25308.5,25302.25,25303.5,90
1764555420,25302,25305.25,25300,25302,133
1764555480,25301.25,25305.5,25297.75,25300,134
1764555540,25299.5,25301,25290.5,25297,232
1764555600,25297.25,25304,25294,25300.75,169
1764555660,25300,25300.75,25294,25298.25,96
1764555720,25298.25,25303.25,25296.75,25297.25,66
1764555780,25297.5,25297.75,25289.5,25290.75,150
1764555840,25291.25,25293.5,25282.5,25283,250
1764555900,25283.75,25288.25,25280.75,25287,170
1764555960,25288,25292.5,25284.25,25287.5,123
1764556020,25288,25296.25,25288,25295,84
1764556080,25294.75,25298.25,25291.5,25295.75,94
1764556140,25296.25,25300.25,25294.25,25295,102
1764556200,25295,25303,25295,25299.25,124
1764556260,25298.5,25303,25298,25302.75,77
1764556320,25301.25,25310.75,25299.5,25304.75,284
1764556380,25305.75,25306.75,25300.75,25304.5,59
1764556440,25303.75,25306.5,25303.75,25306,43
1764556500,25306.75,25311.75,25305,25310.25,133
1764556560,25311.25,25312,25300.75,25301.25,159
1764556620,25300.25,25300.25,25285.5,25287.5,319
1764556680,25287,25290.75,25278.75,25279.5,260
1764556740,25280.75,25286,25279.5,25281.75,187
1764556800,25281.75,25293,25281.5,25290.25,152
1764556860,25289.25,25295,25288.75,25289.25,172
1764556920,25288.75,25290,25284.25,25285.25,151
1764556980,25283,25286.75,25278.5,25284.75,250
1764557040,25285.75,25293.5,25282.5,25282.75,221
1764557100,25282.5,25283.5,25278.5,25281.25,132
1764557160,25280.5,25282.5,25275,25277.25,198
1764557220,25277.5,25279.5,25273.5,25274.5,138
1764557280,25273.25,25274,25267.5,25269.25,237
1764557340,25269.25,25272.75,25267.75,25271.25,130
1764557400,25271.5,25274.25,25269.75,25273.75,94
1764557460,25273.25,25275.75,25273,25275,69
1764557520,25274,25274,25267.5,25269.25,128
1764557580,25268.5,25281.5,25267.5,25277.75,237
1764557640,25276.5,25281.5,25274.75,25279.25,96
1764557700,25280,25289.25,25279,25285.25,179
1764557760,25284,25290.75,25283.75,25289.75,107
1764557820,25289,25298,25288,25294,133
1764557880,25293.5,25293.5,25281.25,25281.25,135
1764557940,25280.25,25284.75,25278.5,25282.75,175
1764558000,25281.25,25283.75,25279.25,25282.75,73
1764558060,25282.75,25283.75,25274,25275.5,115
1764558120,25274,25279.5,25273.5,25276.5,101
