Entry Time,Exit Time,Type,Points,Duration_min,Reason
2025-10-01 12:00:00+02:00,2025-10-01 12:01:00+02:00,LONG,3.75,1.0,Divergence
2025-10-01 12:04:00+02:00,2025-10-01 12:06:00+02:00,SHORT,-3.0,2.0,Divergence
2025-10-01 12:10:00+02:00,2025-10-01 12:12:00+02:00,LONG,-5.0,2.0,Divergence
2025-10-01 12:14:00+02:00,2025-10-01 12:17:00+02:00,SHORT,-4.75,3.0,Divergence
2025-10-01 12:19:00+02:00,2025-10-01 12:19:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 12:24:00+02:00,2025-10-01 12:24:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 12:26:00+02:00,2025-10-01 12:32:00+02:00,LONG,-19.0,6.0,Divergence
2025-10-01 12:34:00+02:00,2025-10-01 12:40:00+02:00,LONG,-3.0,6.0,Divergence
2025-10-01 12:45:00+02:00,2025-10-01 12:47:00+02:00,LONG,2.75,2.0,Divergence
2025-10-01 12:50:00+02:00,2025-10-01 12:51:00+02:00,SHORT,0.25,1.0,Divergence
2025-10-01 12:54:00+02:00,2025-10-01 12:56:00+02:00,SHORT,1.75,2.0,Divergence
2025-10-01 13:02:00+02:00,2025-10-01 13:02:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 13:04:00+02:00,2025-10-01 13:05:00+02:00,LONG,0.5,1.0,Divergence
2025-10-01 13:07:00+02:00,2025-10-01 13:08:00+02:00,LONG,4.0,1.0,Divergence
2025-10-01 13:10:00+02:00,2025-10-01 13:10:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 13:12:00+02:00,2025-10-01 13:12:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 13:15:00+02:00,2025-10-01 13:17:00+02:00,LONG,-3.25,2.0,Divergence
2025-10-01 13:22:00+02:00,2025-10-01 13:24:00+02:00,LONG,-4.25,2.0,Divergence
2025-10-01 13:28:00+02:00,2025-10-01 13:28:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 13:32:00+02:00,2025-10-01 13:36:00+02:00,SHORT,-8.25,4.0,Divergence
2025-10-01 13:38:00+02:00,2025-10-01 13:42:00+02:00,SHORT,-2.5,4.0,Divergence
2025-10-01 13:44:00+02:00,2025-10-01 13:45:00+02:00,SHORT,-2.5,1.0,Divergence
2025-10-01 13:50:00+02:00,2025-10-01 13:50:00+02:00,LONG,0.0,0.0,Divergence
2025-10-01 13:55:00+02:00,2025-10-01 13:59:00+02:00,LONG,7.75,4.0,Divergence
2025-10-01 14:02:00+02:00,2025-10-01 14:04:00+02:00,SHORT,5.5,2.0,Divergence
2025-10-01 14:06:00+02:00,2025-10-01 14:07:00+02:00,SHORT,0.25,1.0,Divergence
2025-10-01 14:09:00+02:00,2025-10-01 14:10:00+02:00,SHORT,-3.5,1.0,Divergence
2025-10-01 14:12:00+02:00,2025-10-01 14:14:00+02:00,SHORT,-0.25,2.0,Divergence
2025-10-01 14:16:00+02:00,2025-10-01 14:16:00+02:00,SHORT,-0.0,0.0,Divergence
2025-10-01 14:18:00+02:00,2025-10-01 14:18:00+02:00,LONG,0.0,0.0,Divergence
