time,open,high,low,close,volume
1759294800,24774.5,24778.25,24773.75,24777.25,54
1759294860,24777.0,24778.25,24775.25,24778.25,31
1759294920,24778.25,24780.0,24777.25,24778.25,49
1759294980,24778.0,24779.75,24775.25,24775.25,28
1759295040,24775.25,24777.0,24774.75,24777.0,11
1759295100,24777.25,24777.75,24776.5,24776.5,14
1759295160,24776.75,24778.5,24775.75,24777.5,30
1759295220,24778.25,24778.75,24776.75,24776.75,16
1759295280,24776.5,24776.5,24773.5,24776.25,33
1759295340,24776.75,24777.5,24776.75,24777.5,3
1759295400,24776.75,24776.75,24774.5,24774.75,14
1759295460,24775.25,24777.0,24775.25,24776.0,16
1759295520,24775.75,24776.0,24775.0,24776.0,18
1759295580,24776.0,24776.0,24774.0,24774.25,19
1759295640,24774.5,24774.5,24772.25,24772.25,21
1759295700,24772.25,24773.5,24764.75,24767.25,133
1759295760,24767.5,24768.5,24761.75,24764.25,153
1759295820,24763.75,24763.75,24760.75,24761.0,76
1759295880,24761.0,24768.75,24759.25,24767.5,164
1759295940,24767.75,24767.75,24765.5,24766.5,23
1759296000,24766.75,24768.5,24765.0,24765.0,25
1759296060,24764.25,24764.75,24762.0,24764.25,30
1759296120,24764.25,24765.0,24762.0,24762.5,27
1759296180,24762.75,24763.5,24762.25,24763.5,25
1759296240,24764.5,24765.5,24763.5,24764.5,33
1759296300,24764.5,24764.5,24760.75,24760.75,38
1759296360,24760.25,24762.25,24759.0,24761.25,52
1759296420,24761.0,24762.25,24759.75,24760.25,32
1759296480,24760.25,24761.5,24760.25,24761.0,29
1759296540,24760.5,24764.75,24760.5,24764.0,68
1759296600,24763.25,24763.75,24759.75,24761.0,119
1759296660,24760.75,24760.75,24758.0,24758.75,62
1759296720,24759.0,24762.5,24758.5,24762.25,38
1759296780,24762.25,24764.0,24760.25,24760.25,51
1759296840,24760.0,24762.25,24759.5,24761.25,31
1759296900,24761.75,24766.0,24761.75,24762.5,41
1759296960,24762.75,24763.0,24760.5,24763.0,46
1759297020,24763.75,24764.0,24762.25,24762.75,29
1759297080,24762.0,24762.25,24760.75,24762.0,25
1759297140,24761.75,24763.5,24761.75,24762.75,20
1759297200,24763.25,24765.0,24763.25,24764.0,23
1759297260,24765.0,24769.0,24765.0,24767.75,62
1759297320,24767.25,24767.25,24764.0,24764.0,49
1759297380,24763.75,24767.25,24763.75,24766.75,33
1759297440,24766.5,24766.5,24764.75,24766.25,28
1759297500,24766.5,24770.5,24766.0,24769.25,84
1759297560,24769.0,24771.0,24768.0,24771.0,20
1759297620,24771.75,24773.25,24769.25,24769.25,79
1759297680,24770.25,24770.5,24766.75,24767.5,23
1759297740,24766.75,24770.5,24766.5,24770.0,36
1759297800,24770.0,24773.75,24769.75,24772.75,73
1759297860,24772.5,24773.25,24771.0,24773.0,64
1759297920,24771.75,24772.5,24771.0,24771.0,20
1759297980,24771.5,24771.75,24769.0,24769.25,29
1759298040,24768.75,24769.75,24767.0,24769.25,65
1759298100,24768.75,24769.75,24764.5,24765.25,31
1759298160,24765.25,24765.75,24763.0,24763.5,66
1759298220,24764.0,24769.5,24764.0,24765.0,122
1759298280,24764.5,24764.5,24762.5,24763.75,17
1759298340,24763.0,24763.75,24759.25,24761.25,88
1759298400,24762.0,24763.75,24760.0,24761.75,89
1759298460,24761.5,24766.25,24760.75,24764.5,81
1759298520,24765.5,24766.5,24763.75,24764.0,47
1759298580,24763.25,24764.25,24761.5,24763.0,47
1759298640,24762.5,24764.5,24762.0,24763.75,23
1759298700,24763.75,24765.25,24763.0,24764.75,28
1759298760,24765.25,24766.5,24764.25,24766.5,48
1759298820,24767.0,24767.0,24763.25,24763.5,35
1759298880,24763.5,24765.5,24763.5,24765.5,15
1759298940,24765.0,24769.5,24764.0,24768.25,78
1759299000,24768.0,24768.0,24758.75,24759.75,102
1759299060,24760.0,24761.0,24756.5,24757.25,143
1759299120,24757.0,24763.0,24755.75,24760.25,146
1759299180,24760.0,24763.25,24760.0,24762.75,35
1759299240,24762.25,24764.75,24758.0,24758.25,37
1759299300,24757.5,24759.5,24755.25,24755.25,40
1759299360,24755.5,24756.5,24752.75,24754.0,117
