timestamp,time,open,high,low,close,Volume,return
2025-12-01 00:00:00+01:00,1764543600,91179.0,91213.2,91103.9,91178.3,131.271,
2025-12-01 00:01:00+01:00,1764543660,91178.4,91210.1,91178.4,91193.8,30.878,0.000169982141319025
2025-12-01 00:02:00+01:00,1764543720,91193.8,91194.0,91103.4,91103.4,30.903,-0.0009917871191671424
2025-12-01 00:03:00+01:00,1764543780,91103.4,91106.2,91050.3,91067.3,56.524,-0.0003963315777184562
2025-12-01 00:04:00+01:00,1764543840,91067.2,91067.2,90999.0,91003.4,93.806,-0.00070192516010259
2025-12-01 00:05:00+01:00,1764543900,91003.5,91017.0,90896.2,90917.3,900.454,-0.0009465663492793652
2025-12-01 00:06:00+01:00,1764543960,90917.2,90965.5,90913.2,90947.8,44.04,0.000335413449704447
2025-12-01 00:07:00+01:00,1764544020,90947.8,90977.7,90915.4,90944.6,60.324,-3.5185637225154665e-05
2025-12-01 00:08:00+01:00,1764544080,90944.6,90944.6,90819.5,90833.9,188.185,-0.0012179659716071711
2025-12-01 00:09:00+01:00,1764544140,90833.8,90889.1,90833.8,90863.3,80.734,0.0003236153364678529
2025-12-01 00:10:00+01:00,1764544200,90863.2,90898.2,90850.0,90893.6,53.78,0.00033341237972983606
2025-12-01 00:11:00+01:00,1764544260,90893.5,90932.7,90877.6,90932.6,59.165,0.0004289810885129697
2025-12-01 00:12:00+01:00,1764544320,90932.7,90938.0,90886.8,90900.1,55.68,-0.0003574714597096573
2025-12-01 00:13:00+01:00,1764544380,90900.0,90972.6,90900.0,90932.3,53.709,0.00035417230742673667
2025-12-01 00:14:00+01:00,1764544440,90932.4,90946.2,90929.6,90930.0,16.378,-2.5293862444542015e-05
2025-12-01 00:15:00+01:00,1764544500,90930.1,90930.1,90823.5,90833.7,209.237,-0.001059617613533348
2025-12-01 00:16:00+01:00,1764544560,90833.7,90893.8,90823.5,90871.9,48.45,0.0004204603552437902
2025-12-01 00:17:00+01:00,1764544620,90871.9,90914.3,90871.8,90890.0,26.441,0.00019916165114608475
2025-12-01 00:18:00+01:00,1764544680,90890.0,90898.7,90836.3,90870.1,44.514,-0.00021896995082570925
2025-12-01 00:19:00+01:00,1764544740,90870.1,90870.1,90832.2,90835.4,31.083,-0.00038193670991581996
2025-12-01 00:20:00+01:00,1764544800,90835.3,90851.3,90832.3,90840.6,21.59,5.724476542212642e-05
2025-12-01 00:21:00+01:00,1764544860,90840.6,90853.6,90835.7,90836.7,25.083,-4.29332668474558e-05
2025-12-01 00:22:00+01:00,1764544920,90836.6,90880.6,90835.3,90835.4,32.75,-1.4311498574670622e-05
2025-12-01 00:23:00+01:00,1764544980,90835.4,90835.4,90750.1,90786.2,227.395,-0.0005417857920360092
2025-12-01 00:24:00+01:00,1764545040,90786.1,90844.0,90786.1,90837.9,85.182,0.0005693077228894339
2025-12-01 00:25:00+01:00,1764545100,90837.8,90837.9,90714.0,90714.1,124.13,-0.0013637968096027464
2025-12-01 00:26:00+01:00,1764545160,90714.2,90726.5,90666.0,90666.1,274.94,-0.0005292749828313958
