timestamp,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,NQ_open,NQ_high,NQ_low,NQ_close,NQ_volume,BTC_return,NQ_return,BTC_vol,NQ_vol,BTC_dir,NQ_dir,agreement,divergence,Hour,Minute
2025-12-01 01:00:00+01:00,90320.5,90396.9,90254.0,90376.8,393.365,25467.5,25471.0,25460.0,25465.75,205,0.000622034426751128,-1.9634021834136206e-05,0.0005463597972440304,0.00025240316438834327,1.0,-1.0,0,1,1,0
2025-12-01 01:01:00+01:00,90376.8,90376.8,90257.8,90257.8,198.314,25465.75,25468.5,25462.25,25462.25,77,-0.0013175772218119164,-0.0001374489477505847,0.0005651527870149943,0.00024002420464752747,-1.0,-1.0,1,0,1,1
2025-12-01 01:02:00+01:00,90257.9,90304.7,90231.9,90264.8,223.181,25461.25,25462.0,25447.5,25449.25,262,7.755261671960056e-05,-0.0005106901302269762,0.000555641625996387,0.00024740536378020574,1.0,-1.0,0,1,1,2
2025-12-01 01:03:00+01:00,90264.7,90264.7,90150.0,90159.2,433.473,25449.5,25457.25,25446.25,25446.5,206,-0.0011705761102529522,-0.00010806403295759992,0.0005701625689085147,0.00023353032853152357,-1.0,-1.0,1,0,1,3
2025-12-01 01:04:00+01:00,90159.2,90159.3,89228.0,89771.4,4556.252,25446.5,25450.75,25435.5,25445.0,457,-0.004310557520208036,-5.8948940409919715e-05,0.0007794577282059312,0.00023353052641238782,-1.0,-1.0,1,0,1,4
2025-12-01 01:05:00+01:00,89771.3,89783.6,89476.4,89541.0,1188.505,25446.5,25450.0,25434.75,25436.75,240,-0.0025698181140416665,-0.0003242813021273605,0.000831297205092437,0.00023503827806855158,-1.0,-1.0,1,0,1,5
2025-12-01 01:06:00+01:00,89541.0,89594.2,89354.2,89422.6,1042.86,25437.0,25437.0,25428.0,25431.25,320,-0.0013231742910218003,-0.00021624597080460717,0.0008388992794549629,0.00023189873270429982,-1.0,-1.0,1,0,1,6
2025-12-01 01:07:00+01:00,89422.5,89499.6,89150.3,89150.3,929.683,25432.25,25436.0,25420.0,25421.75,297,-0.003049737233958183,-0.00037362594578560504,0.000911044644391995,0.0002344739439316983,-1.0,-1.0,1,0,1,7
2025-12-01 01:08:00+01:00,89150.3,89338.7,88900.0,89071.1,1521.803,25421.0,25421.5,25409.5,25418.5,376,-0.0008887822137353396,-0.0001278514564511113,0.0009065998859458851,0.00023234562416811234,-1.0,-1.0,1,0,1,8
2025-12-01 01:09:00+01:00,89071.3,89240.2,88900.0,89101.0,1173.043,25418.25,25425.75,25411.25,25418.25,169,0.0003356305536126314,-9.835404506830514e-06,0.0009067472636720219,0.00023210697599416276,1.0,0.0,0,0,1,9
2025-12-01 01:10:00+01:00,89100.9,89230.0,88807.2,89010.2,924.203,25417.0,25418.0,25410.25,25413.75,146,-0.001019587851477155,-0.00017705382482446907,0.0009068834613912633,0.00023246688500787899,-1.0,-1.0,1,0,1,10
2025-12-01 01:11:00+01:00,89010.2,89268.8,88901.7,89202.0,664.814,25415.0,25417.0,25401.75,25408.5,342,0.0021524909524064384,-0.00020660242388537142,0.0009578085356454061,0.0002325798588104892,1.0,-1.0,0,1,1,11
