timestamp,time,open,high,low,close,Volume,return
2025-12-01 00:00:00+01:00,1764543600,25482.5,25546.0,25457.5,25514.0,746,
2025-12-01 00:01:00+01:00,1764543660,25512.75,25518.75,25494.75,25497.75,388,-0.0006371081387985811
2025-12-01 00:02:00+01:00,1764543720,25496.75,25509.5,25488.0,25493.25,412,-0.00017650173605865405
2025-12-01 00:03:00+01:00,1764543780,25494.0,25495.0,25471.25,25476.5,400,-0.0006572526097521347
2025-12-01 00:04:00+01:00,1764543840,25475.5,25494.75,25471.25,25475.0,292,-5.887952270100527e-05
2025-12-01 00:05:00+01:00,1764543900,25474.0,25483.25,25469.75,25480.0,266,0.0001962515951738908
2025-12-01 00:06:00+01:00,1764543960,25479.5,25489.75,25478.0,25488.0,185,0.00031392246373052046
2025-12-01 00:07:00+01:00,1764544020,25488.0,25498.0,25486.0,25492.0,208,0.00015692428435443162
2025-12-01 00:08:00+01:00,1764544080,25491.0,25499.5,25490.75,25497.25,265,0.00020592575958922055
2025-12-01 00:09:00+01:00,1764544140,25496.75,25500.0,25494.25,25498.25,129,3.92191467923908e-05
2025-12-01 00:10:00+01:00,1764544200,25498.5,25498.5,25491.75,25495.0,118,-0.00012746785130879346
2025-12-01 00:11:00+01:00,1764544260,25494.5,25495.25,25489.25,25490.0,107,-0.00019613611909541362
2025-12-01 00:12:00+01:00,1764544320,25489.0,25500.0,25486.5,25494.5,276,0.0001765242382170129
2025-12-01 00:13:00+01:00,1764544380,25494.5,25497.0,25490.25,25496.75,75,8.825043518001507e-05
2025-12-01 00:14:00+01:00,1764544440,25496.5,25502.0,25495.5,25501.75,59,0.0001960841991834883
2025-12-01 00:15:00+01:00,1764544500,25502.25,25506.5,25496.25,25497.0,301,-0.00018627907600610172
2025-12-01 00:16:00+01:00,1764544560,25495.5,25503.25,25493.0,25500.5,86,0.00013726163068739083
2025-12-01 00:17:00+01:00,1764544620,25501.5,25502.5,25496.75,25502.5,53,7.84267592504051e-05
2025-12-01 00:18:00+01:00,1764544680,25501.75,25510.25,25501.25,25506.5,141,0.00015683506864228036
2025-12-01 00:19:00+01:00,1764544740,25508.75,25515.0,25506.75,25512.0,206,0.0002156080645772107
2025-12-01 00:20:00+01:00,1764544800,25512.75,25516.25,25510.25,25514.0,142,7.839140834242642e-05
2025-12-01 00:21:00+01:00,1764544860,25514.0,25516.5,25514.0,25515.25,96,4.8991509780549336e-05
2025-12-01 00:22:00+01:00,1764544920,25515.0,25515.5,25510.0,25512.0,76,-0.00012738291812297575
2025-12-01 00:23:00+01:00,1764544980,25511.75,25511.75,25506.5,25508.5,130,-0.00013719975325443556
2025-12-01 00:24:00+01:00,1764545040,25510.0,25515.5,25507.75,25515.5,126,0.0002743806853207076
2025-12-01 00:25:00+01:00,1764545100,25515.75,25524.25,25513.5,25515.5,330,0.0
2025-12-01 00:26:00+01:00,1764545160,25516.5,25519.75,25506.75,25506.75,107,-0.0003429876215097494
2025-12-01 00:27:00+01:00,1764545220,25505.75,25510.0,25504.25,25504.25,105,-9.801807461151668e-05
2025-12-01 00:28:00+01:00,1764545280,25505.25,25506.5,25498.75,25499.75,136,-0.00017645674894772867
2025-12-01 00:29:00+01:00,1764545340,25501.0,25501.0,25495.5,25498.5,67,-4.9021289957096315e-05
2025-12-01 00:30:00+01:00,1764545400,25498.25,25500.5,25480.5,25483.0,366,-0.0006080637281193901
2025-12-01 00:31:00+01:00,1764545460,25480.25,25481.0,25467.0,25475.25,380,-0.00030417057335263564
